Rebuilding ListInfoManager Singleton...  ... done
Scan Request pixel_13490                :: entry=2013-01-16 :: expire=2013-05-01 :: active=false
Scan Request pixel_13508                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13516                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_13942                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_13980                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_13995                :: entry=2012-11-26 :: expire=2013-03-11 :: active=false
Scan Request pixel_13996                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_13997                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_13998                :: entry=2012-11-26 :: expire=2013-03-11 :: active=false
Scan Request pixel_14001                :: entry=2012-11-26 :: expire=2013-03-11 :: active=false
Scan Request pixel_14002                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_14003                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_14007                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_14008                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_14018                :: entry=2012-11-26 :: expire=2013-03-11 :: active=false
Scan Request pixel_14021                :: entry=2012-12-19 :: expire=2013-04-03 :: active=false
Scan Request pixel_14039                :: entry=2013-03-26 :: expire=2013-07-09 :: active=true
Scan Request pixel_14040                :: entry=2013-03-26 :: expire=2013-07-09 :: active=true
Scan Request pixel_14043                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14044                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14049                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14060                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_14062                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_14083                :: entry=2013-02-12 :: expire=2013-05-28 :: active=false
Scan Request pixel_14240                :: entry=2013-02-22 :: expire=2013-06-07 :: active=true
Scan Request pixel_14247                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_14268                :: entry=2013-05-24 :: expire=2013-09-06 :: active=true
Scan Request pixel_14300                :: entry=2012-12-18 :: expire=2013-04-02 :: active=false
Scan Request pixel_14325                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14326                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14327                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14328                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14329                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14330                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14331                :: entry=2013-03-28 :: expire=2013-07-11 :: active=true
Scan Request pixel_14346                :: entry=2013-01-31 :: expire=2013-05-16 :: active=false
Scan Request pixel_14351                :: entry=2012-12-10 :: expire=2013-03-25 :: active=false
Scan Request pixel_14383                :: entry=2012-12-27 :: expire=2013-04-11 :: active=false
Scan Request pixel_14384                :: entry=2013-01-07 :: expire=2013-04-22 :: active=false
Scan Request pixel_14420                :: entry=2013-04-29 :: expire=2013-08-12 :: active=true
Scan Request pixel_14424                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_14431                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_14445                :: entry=2013-01-15 :: expire=2013-04-30 :: active=false
Scan Request pixel_14446                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_14447                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_14483                :: entry=2013-03-04 :: expire=2013-06-17 :: active=true
Scan Request pixel_14484                :: entry=2013-03-04 :: expire=2013-06-17 :: active=true
Scan Request pixel_14485                :: entry=2013-03-04 :: expire=2013-06-17 :: active=true
Scan Request pixel_14510                :: entry=2013-03-27 :: expire=2013-07-10 :: active=true
Scan Request pixel_14513                :: entry=2013-03-27 :: expire=2013-07-10 :: active=true
Scan Request pixel_14514                :: entry=2013-03-27 :: expire=2013-07-10 :: active=true
Scan Request pixel_14515                :: entry=2013-03-27 :: expire=2013-07-10 :: active=true
Scan Request pixel_14518                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14519                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14524                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14525                :: entry=2013-02-07 :: expire=2013-05-23 :: active=false
Scan Request pixel_14527                :: entry=2013-02-20 :: expire=2013-06-05 :: active=true
Scan Request pixel_14530                :: entry=2013-02-19 :: expire=2013-06-04 :: active=true
Scan Request pixel_14531                :: entry=2013-03-06 :: expire=2013-06-19 :: active=true
Scan Request pixel_14532                :: entry=2013-03-06 :: expire=2013-06-19 :: active=true
Scan Request pixel_14540                :: entry=2013-04-09 :: expire=2013-07-23 :: active=true
Scan Request pixel_14558                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_14560                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_14562                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_14598                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_14602                :: entry=2013-01-14 :: expire=2013-04-29 :: active=false
Scan Request pixel_14625                :: entry=2013-03-07 :: expire=2013-06-20 :: active=true
Scan Request pixel_1463                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_14639                :: entry=2013-01-18 :: expire=2013-05-03 :: active=false
Scan Request pixel_14641                :: entry=2013-02-01 :: expire=2013-05-17 :: active=false
Scan Request pixel_14666                :: entry=2013-02-06 :: expire=2013-05-22 :: active=false
Scan Request pixel_14678                :: entry=2013-03-13 :: expire=2013-06-26 :: active=true
Scan Request pixel_1468                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_1469                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_14805                :: entry=2013-02-18 :: expire=2013-06-03 :: active=true
Scan Request pixel_1482                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_14854                :: entry=2013-02-07 :: expire=2013-05-23 :: active=false
Scan Request pixel_14857                :: entry=2013-04-04 :: expire=2013-07-18 :: active=true
Scan Request pixel_14869                :: entry=2013-03-14 :: expire=2013-06-27 :: active=true
Scan Request pixel_14906                :: entry=2013-03-15 :: expire=2013-06-28 :: active=true
Scan Request pixel_14908                :: entry=2013-03-15 :: expire=2013-06-28 :: active=true
Scan Request pixel_14911                :: entry=2013-03-15 :: expire=2013-06-28 :: active=true
Scan Request pixel_14926                :: entry=2013-04-09 :: expire=2013-07-23 :: active=true
Scan Request pixel_14941                :: entry=2013-02-15 :: expire=2013-05-31 :: active=true
Scan Request pixel_14965                :: entry=2013-01-31 :: expire=2013-05-16 :: active=false
Scan Request pixel_15031                :: entry=2013-02-10 :: expire=2013-05-26 :: active=false
Scan Request pixel_15053                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_15075                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_15240                :: entry=2013-04-29 :: expire=2013-08-12 :: active=true
Scan Request pixel_15242                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_15283                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_15284                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_15285                :: entry=2013-02-08 :: expire=2013-05-24 :: active=false
Scan Request pixel_15298                :: entry=2013-04-18 :: expire=2013-08-01 :: active=true
Scan Request pixel_15341                :: entry=2013-02-27 :: expire=2013-06-12 :: active=true
Scan Request pixel_15342                :: entry=2013-02-27 :: expire=2013-06-12 :: active=true
Scan Request pixel_15345                :: entry=2013-02-18 :: expire=2013-06-03 :: active=true
Scan Request pixel_15347                :: entry=2013-02-20 :: expire=2013-06-05 :: active=true
Scan Request pixel_15391                :: entry=2013-03-30 :: expire=2013-07-13 :: active=true
Scan Request pixel_1540                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_15420                :: entry=2013-03-30 :: expire=2013-07-13 :: active=true
Scan Request pixel_15445                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_15446                :: entry=2013-02-20 :: expire=2013-06-05 :: active=true
Scan Request pixel_15462                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_15552                :: entry=2013-04-03 :: expire=2013-07-17 :: active=true
Scan Request pixel_15580                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_15583                :: entry=2013-02-26 :: expire=2013-06-11 :: active=true
Scan Request pixel_15585                :: entry=2013-02-27 :: expire=2013-06-12 :: active=true
Scan Request pixel_15749                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_1577                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_15938                :: entry=2013-03-19 :: expire=2013-07-02 :: active=true
Scan Request pixel_15944                :: entry=2013-04-03 :: expire=2013-07-17 :: active=true
Scan Request pixel_15973                :: entry=2013-05-14 :: expire=2013-08-27 :: active=true
Scan Request pixel_1600                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_1601                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_16016                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_1602                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_16022                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_16027                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_16028                :: entry=2013-03-12 :: expire=2013-06-25 :: active=true
Scan Request pixel_16042                :: entry=2013-03-19 :: expire=2013-07-02 :: active=true
Scan Request pixel_16123                :: entry=2013-04-12 :: expire=2013-07-26 :: active=true
Scan Request pixel_16124                :: entry=2013-04-12 :: expire=2013-07-26 :: active=true
Scan Request pixel_16125                :: entry=2013-04-12 :: expire=2013-07-26 :: active=true
Scan Request pixel_16147                :: entry=2013-04-09 :: expire=2013-07-23 :: active=true
Scan Request pixel_16160                :: entry=2013-05-17 :: expire=2013-08-30 :: active=true
Scan Request pixel_16161                :: entry=2013-03-30 :: expire=2013-07-13 :: active=true
Scan Request pixel_16186                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16187                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16188                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16189                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16190                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16196                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_16201                :: entry=2013-05-17 :: expire=2013-08-30 :: active=true
Scan Request pixel_1623                 :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_16366                :: entry=2013-04-12 :: expire=2013-07-26 :: active=true
