id_campaign	id_domain	id_date	id_hour	id_lineitem	id_creative	id_exchange	id_country	id_currcode	id_content	id_utw	ENTRY_DATE	HAS_CC	RAND99	sum(num_bids)	sum(num_clicks)	sum(num_impressions)	sum(num_conversions)	sum(num_conv_post_view)	sum(num_conv_post_click)	sum(imp_bid_amount)	sum(imp_cost)
1666	abcnews.com	2012-10-15	6	1887964499	193032	4	233	0	4	7	2012-10-15	0	85	4	0	0	0	0	0	0	0
1666	abcnews.com	2012-10-15	6	1887966392	192979	4	233	0	4	94	2012-10-15	0	51	1	0	0	0	0	0	0	0
1666	abcnews.com	2012-10-15	6	1887966392	192990	4	233	0	4	94	2012-10-15	0	99	1	0	0	0	0	0	0	0
1666	abcnews.go.com	2012-10-15	6	1887966392	193017	4	233	0	4	94	2012-10-15	0	46	1	0	0	0	0	0	0	0
1666	abstract.desktopnexus.com	2012-10-15	6	1887962748	192969	4	233	0	4	4	2012-10-15	0	37	2	0	2	0	0	0	0.007	0.006643
1666	abstract.desktopnexus.com	2012-10-15	6	1887962748	192970	4	233	0	4	4	2012-10-15	0	71	1	0	1	0	0	0	0.0035	0.003494
1666	abstract.desktopnexus.com	2012-10-15	6	1887962755	193035	4	233	0	4	4	2012-10-15	0	46	1	0	1	0	0	0	0.0035	0.002666
1666	abstract.desktopnexus.com	2012-10-15	6	1887962756	193038	4	233	0	4	4	2012-10-15	0	17	2	0	2	0	0	0	0.007	0.005816
1666	abstract.desktopnexus.com	2012-10-15	6	1887962757	193041	4	233	0	4	4	2012-10-15	0	47	1	0	1	0	0	0	0.0035	0.003199
1666	abstract.desktopnexus.com	2012-10-15	6	1887962758	193044	4	233	0	4	4	2012-10-15	0	85	2	0	2	0	0	0	0.007	0.006643
1666	abstract.desktopnexus.com	2012-10-15	6	1887962759	193047	4	233	0	4	4	2012-10-15	0	84	1	0	1	0	0	0	0.0035	0.00347
1666	abstract.desktopnexus.com	2012-10-15	6	1887962761	193053	4	233	0	4	4	2012-10-15	0	67	2	0	2	0	0	0	0.007	0.006964
1666	aceshowbiz.com	2012-10-15	6	1887962755	193035	4	233	0	4	4	2012-10-15	0	32	1	0	0	0	0	0	0	0
1666	aceshowbiz.com	2012-10-15	6	1887962759	193047	4	233	0	4	4	2012-10-15	0	84	1	0	0	0	0	0	0	0
1666	aceshowbiz.com	2012-10-15	6	1887966392	192975	4	233	0	4	94	2012-10-15	0	23	1	0	0	0	0	0	0	0
1666	aceshowbiz.com	2012-10-15	6	1887966392	192981	4	233	0	4	94	2012-10-15	0	21	1	0	0	0	0	0	0	0
1666	aceshowbiz.com	2012-10-15	6	1887966392	192985	4	233	0	4	94	2012-10-15	0	33	1	0	0	0	0	0	0	0
1666	aceshowbiz.com	2012-10-15	6	1887966392	193001	4	233	0	4	94	2012-10-15	0	6	1	0	0	0	0	0	0	0
1666	acura.com	2012-10-15	6	1887966392	193015	4	233	0	4	94	2012-10-15	0	17	1	0	0	0	0	0	0	0
1666	addic7ed.com	2012-10-15	6	1887964493	193021	4	233	0	4	7	2012-10-15	0	31	3	0	0	0	0	0	0	0
1666	adventurefungames.com	2012-10-15	6	1887962748	192968	4	233	0	4	4	2012-10-15	0	35	3	0	3	0	0	0	0.0105	0.009841
1666	adventurefungames.com	2012-10-15	6	1887962748	192969	4	233	0	4	4	2012-10-15	0	85	3	0	1	0	0	0	0.0035	0.003173
