excname	exc_id	iab_id
openx	1522	69
openx	1524	98
openx	2608	343
openx	1505	57
openx	1506	104
openx	1525	600
openx	1517	344
openx	907	412
openx	1526	412
openx	1527	345
openx	1512	328
openx	1528	346
openx	709	346
openx	406	348
openx	1529	338
openx	1530	50
openx	1532	444
openx	1513	270
openx	214	531
openx	1534	233
openx	2702	233
openx	1535	247
openx	1536	89
openx	1537	339
openx	1538	61
openx	1540	40
openx	2705	40
openx	1523	40
openx	1931	40
openx	1542	341
openx	17	10
openx	610	10
openx	1701	130
openx	1708	186
openx	908	186
openx	1709	80
openx	1710	112
openx	1704	107
openx	708	501
openx	702	501
openx	1702	114
openx	1705	111
openx	1703	106
openx	13	17
openx	1309	347
openx	1302	77
openx	1303	77
openx	1306	617
openx	1307	263
openx	1304	263
openx	1301	651
openx	21	13
openx	2902	13
openx	2101	699
openx	1305	699
openx	2104	74
openx	2102	365
openx	904	365
openx	30	5
openx	3011	96
openx	3003	193
openx	3006	193
openx	3009	546
openx	3010	362
openx	3012	794
openx	3004	33
openx	3005	97
openx	3013	795
openx	3014	798
openx	3007	363
openx	3015	796
openx	3008	625
openx	3016	625
openx	35	16
openx	801	580
openx	3502	580
openx	3505	603
openx	3505	291
openx	3507	582
openx	909	582
openx	3509	284
openx	3510	565
openx	913	565
openx	3511	192
openx	914	192
openx	3504	60
openx	24	171
openx	1503	248
openx	2411	248
openx	2401	203
openx	2402	241
openx	2403	239
openx	1515	264
openx	2416	264
openx	2408	214
openx	2409	198
openx	2413	410
openx	3204	410
openx	2412	204
openx	2417	81
openx	2905	81
openx	16	65
openx	910	65
openx	1601	560
openx	1602	561
openx	1603	562
openx	1604	563
openx	1605	380
openx	1606	570
openx	1607	189
openx	25	23
openx	2516	725
openx	2501	170
openx	2508	249
openx	2529	246
openx	2505	351
openx	2530	643
openx	2531	175
openx	2510	252
openx	2507	177
openx	2532	462
openx	2528	391
openx	2512	168
openx	2533	390
openx	2519	393
openx	2513	255
openx	2534	495
openx	2509	569
openx	2535	394
openx	2536	260
openx	2515	352
openx	2537	251
openx	2538	723
openx	2518	411
openx	2539	179
openx	2540	727
openx	2502	165
openx	2514	163
openx	2541	259
openx	2542	174
openx	2511	258
openx	2503	667
openx	2543	392
openx	2544	660
openx	2545	261
openx	2526	718
openx	2546	719
openx	2547	649
openx	2525	640
openx	2524	266
openx	2521	256
openx	2548	191
openx	2549	257
openx	2550	645
openx	2522	167
openx	33	41
openx	1518	41
openx	609	41
openx	3302	94
openx	3303	220
openx	3305	169
openx	3306	340
openx	3304	183
openx	602	183
openx	601	184
openx	3301	184
openx	7	3
openx	18	3
openx	19	3
openx	31	3
openx	1801	487
openx	1802	488
openx	1803	309
openx	1804	599
openx	703	242
openx	3102	302
openx	3101	302
openx	3104	302
openx	1805	750
openx	1806	110
openx	701	113
openx	712	298
openx	711	298
openx	1807	661
openx	1808	297
openx	1809	627
openx	1810	629
openx	1811	201
openx	1908	201
openx	1812	489
openx	713	631
openx	1813	740
openx	1814	508
openx	1913	508
openx	1815	509
openx	1913	509
openx	1816	484
openx	1817	486
openx	1912	486
openx	1818	388
openx	1819	230
openx	1820	253
openx	1918	253
openx	1930	751
openx	1821	254
openx	1915	254
openx	714	265
openx	1823	389
openx	706	271
openx	1916	791
openx	1825	485
openx	1826	510
openx	1913	510
openx	1934	772
openx	1827	333
openx	1919	333
openx	1923	332
openx	1829	490
openx	1912	490
openx	28	68
openx	2819	502
openx	2820	801
openx	2804	231
openx	2808	231
openx	2809	231
openx	2822	805
openx	2823	119
openx	2824	78
openx	2825	79
openx	2843	810
openx	2826	120
openx	2827	811
openx	2828	815
openx	2811	234
openx	2829	821
openx	2845	820
openx	2830	823
openx	2832	825
openx	2833	511
openx	2807	118
openx	2813	118
openx	2834	827
openx	2835	835
openx	2836	840
openx	2844	630
openx	2839	845
openx	2840	140
openx	2802	602
openx	2841	395
openx	2842	829
openx	22	26
openx	410	26
openx	2201	370
openx	2202	471
openx	2204	657
openx	6	19
openx	1516	742
openx	625	742
openx	1519	742
openx	608	273
openx	606	275
openx	628	406
openx	34	55
openx	911	55
openx	3401	314
openx	3402	307
openx	3403	311
openx	3404	303
openx	3405	304
openx	3406	312
openx	3407	313
openx	3408	306
openx	3409	305
openx	3411	308
openx	8	245
openx	803	245
openx	804	245
openx	1903	245
openx	1909	245
rtb	3	2
rtb	22	86
rtb	184	180
rtb	24	27
rtb	182	185
rtb	34	35
rtb	35	37
rtb	36	39
rtb	47	45
rtb	89	90
rtb	138	137
rtb	473	470
rtb	473	238
rtb	1380	780
rtb	810	415
rtb	1058	500
rtb	273	272
rtb	148	151
rtb	806	635
rtb	1056	498
rtb	610	399
rtb	1013	482
rtb	12	11
rtb	25	24
rtb	46	47
rtb	255	250
rtb	498	398
rtb	48	49
rtb	750	46
rtb	76	75
rtb	657	325
rtb	157	156
rtb	664	51
rtb	83	25
rtb	606	300
rtb	60	95
rtb	959	121
rtb	372	299
rtb	1282	555
rtb	960	430
rtb	961	432
rtb	418	221
rtb	1282	554
rtb	366	301
rtb	74	99
rtb	371	134
rtb	369	360
rtb	474	208
rtb	372	369
rtb	1465	612
rtb	367	320
rtb	108	575
rtb	1266	574
rtb	372	387
rtb	791	480
rtb	700	135
rtb	371	135
rtb	371	133
rtb	1118	401
rtb	799	287
rtb	1131	15
rtb	974	518
rtb	1374	712
rtb	1579	799
rtb	1290	747
rtb	58	58
rtb	58	59
rtb	401	372
rtb	641	419
rtb	677	419
rtb	649	403
rtb	45	43
rtb	44	43
rtb	94	92
rtb	642	283
rtb	625	479
rtb	626	481
rtb	499	115
rtb	628	483
rtb	627	478
rtb	641	417
rtb	437	310
rtb	429	276
rtb	643	416
rtb	819	503
rtb	629	400
rtb	1211	533
rtb	245	101
rtb	640	420
rtb	420	199
rtb	630	413
rtb	638	409
rtb	631	414
rtb	559	317
rtb	499	116
rtb	499	117
rtb	638	405
rtb	647	213
rtb	636	209
rtb	456	103
rtb	944	537
rtb	639	211
rtb	645	212
rtb	500	145
rtb	543	191
rtb	623	202
rtb	536	538
rtb	633	402
rtb	1237	608
rtb	257	87
rtb	1329	637
rtb	236	102
rtb	648	407
rtb	71	70
rtb	915	705
rtb	1525	700
